<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
VIC,20190905,122.9,123.4,122,122,303110,122.9,123.4,122,122,0,183240,146940
VIC,20190904,123,123.5,121.7,122.4,385500,123,123.5,121.7,122.4,0,234560,305310
VIC,20190903,123.5,124.4,122.2,123,174400,123.5,124.4,122.2,123,134000,109840,80990
VIC,20190830,122.5,123.9,122,123.5,220710,122.5,123.9,122,123.5,0,134310,68670
VIC,20190829,123.5,123.5,121.1,122.5,350460,123.5,123.5,121.1,122.5,0,130710,96330
VIC,20190828,122.2,123.5,121.9,122,242730,122.2,123.5,121.9,122,0,130710,96330
VIC,20190827,124.9,125.7,122.5,122.5,397260,124.9,125.7,122.5,122.5,25860,136650,258100
VIC,20190826,125,125,123.4,124.8,355930,125,125,123.4,124.8,0,236060,109010
VIC,20190823,126.1,126.1,124.6,125,513250,126.1,126.1,124.6,125,0,419820,327560
VIC,20190822,123,126.5,122.7,126.1,671970,123,126.5,122.7,126.1,25860,334500,65830
VIC,20190821,121,122.5,121,122.4,252820,121,122.5,121,122.4,0,154710,43700
VIC,20190820,121.9,122.5,121,121,206540,121.9,122.5,121,121,0,110470,100130
VIC,20190819,122.5,122.5,121.5,121.9,211950,122.5,122.5,121.5,121.9,8000000,111890,95820
VIC,20190816,119.6,122.3,119.6,122,347380,119.6,122.3,119.6,122,77580,240670,104730
VIC,20190815,117,121,117,121,327120,117,121,117,121,0,106880,64530
VIC,20190814,119.5,120,118.2,118.6,302420,119.5,120,118.2,118.6,39080,47230,176600
VIC,20190813,119.9,120,118,118.1,310330,119.9,120,118,118.1,0,63310,79220
VIC,20190812,120.2,121.2,120,120,107460,120.2,121.2,120,120,703660,47140,25710
VIC,20190809,122,122.5,120.2,120.2,400990,122,122.5,120.2,120.2,4318555,0,0
VIC,20190808,118,122.5,118,122,545170,118,122.5,118,122,5362447,439740,92060
VIC,20190807,119.8,120.2,117.6,118,345950,119.8,120.2,117.6,118,2500000,189500,155010
VIC,20190806,116,119.8,115.5,119.8,441590,116,119.8,115.5,119.8,2974194,158110,92770
VIC,20190805,122.1,122.1,118,118,760020,122.1,122.1,118,118,0,284570,379730
VIC,20190802,122,123.1,121.9,122.5,483120,122,123.1,121.9,122.5,3050000,47680,84580
VIC,20190801,123,124.5,122.5,124.4,365850,123,124.5,122.5,124.4,0,134430,131120
VIC,20190731,122.5,123.2,120.2,122,406490,122.5,123.2,120.2,122,2523730,142620,154820
VIC,20190730,124.4,125,122,122.5,366670,124.4,125,122,122.5,0,121350,211430
VIC,20190729,123,124.4,122.1,124.4,566870,123,124.4,122.1,124.4,105400,230240,144270
VIC,20190726,122.7,123.3,121.6,122.1,416560,122.7,123.3,121.6,122.1,0,501000,341510
VIC,20190725,120.6,125.1,120.6,123.2,740440,120.6,125.1,120.6,123.2,0,412330,145910
VIC,20190724,120.5,122.2,120.2,122,661870,120.5,122.2,120.2,122,0,412330,145910
VIC,20190723,116.5,120.3,116.5,119.8,1502160,116.5,120.3,116.5,119.8,0,410200,459350
VIC,20190722,116,116.5,115,116.5,395900,116,116.5,115,116.5,0,385840,90340
VIC,20190719,114.8,116,114.8,116,476260,114.8,116,114.8,116,70000,398520,177450
VIC,20190718,115,115.9,114.8,114.8,454560,115,115.9,114.8,114.8,250590,371640,171570
VIC,20190717,116,116.3,115,115.5,213640,116,116.3,115,115.5,0,128210,27540
VIC,20190716,115,116.5,114.2,115.9,473360,115,116.5,114.2,115.9,0,880810,45560
VIC,20190715,116,116.2,113.8,114.2,514900,116,116.2,113.8,114.2,0,56190,78670
VIC,20190712,116.9,117,116,116,169920,116.9,117,116,116,0,101880,26190
VIC,20190711,117.3,117.5,115.6,116.5,363380,117.3,117.5,115.6,116.5,0,151130,111450
VIC,20190710,117,117.5,116.5,116.8,377060,117,117.5,116.5,116.8,50000,101130,61450
VIC,20190709,116,116.1,115.2,116,187330,116,116.1,115.2,116,0,283509,212919
VIC,20190708,116.5,116.7,115.8,116,285840,116.5,116.7,115.8,116,0,301170,236980
VIC,20190705,116,116.8,115.8,116.7,307400,116,116.8,115.8,116.7,1088000,217940,38150
VIC,20190704,115,116.5,115,116.5,265260,115,116.5,115,116.5,0,82980,29720
VIC,20190703,115.5,116,114.3,115.4,260170,115.5,116,114.3,115.4,0,75860,80220
VIC,20190702,117.1,117.3,115.8,115.8,268150,117.1,117.3,115.8,115.8,55000,115720,54780
VIC,20190701,116.7,117.2,116.1,117.2,562110,116.7,117.2,116.1,117.2,0,199360,34140
VIC,20190628,115,115.9,113.7,115.7,468590,115,115.9,113.7,115.7,20640,209120,185010
VIC,20190627,117,117,114.9,114.9,398280,117,117,114.9,114.9,0,336620,22050
VIC,20190626,116.3,117,116,116.9,515020,116.3,117,116,116.9,0,336620,22050
VIC,20190625,116.5,117.2,116.3,116.4,510700,116.5,117.2,116.3,116.4,85000,131990,70280
VIC,20190624,115,116.6,115,116.4,228390,115,116.6,115,116.4,0,126630,57600
VIC,20190621,116.5,116.8,114.5,114.5,594210,116.5,116.8,114.5,114.5,0,237790,498920
VIC,20190620,116.2,117.1,115.6,116,317480,116.2,117.1,115.6,116,92000,151350,29740
VIC,20190619,114.7,115.9,114.5,115.9,135220,114.7,115.9,114.5,115.9,0,101320,15420
VIC,20190618,114.7,115,113.8,114,433860,114.7,115,113.8,114,0,220140,135130
VIC,20190617,115.9,116.5,113.8,114.5,415390,115.9,116.5,113.8,114.5,0,300140,246300
VIC,20190614,116,116,114.3,115.5,350180,116,116,114.3,115.5,0,127470,264150
VIC,20190613,115.2,115.9,115.2,115.5,267940,115.2,115.9,115.2,115.5,25000,107300,55050
VIC,20190612,117,117.5,116,116,258350,117,117.5,116,116,0,345760,323480
VIC,20190611,117.6,117.8,117,117,308910,117.6,117.8,117,117,0,213130,150640
VIC,20190610,117.2,118.7,117.2,117.6,955890,117.2,118.7,117.2,117.6,0,497060,38000
VIC,20190607,116.6,117,116.1,117,286940,116.6,117,116.1,117,727090,104460,10510
VIC,20190606,115.9,115.9,114.4,115.9,167500,115.9,115.9,114.4,115.9,0,47850,9830
VIC,20190605,115,115.9,115,115.9,244400,115,115.9,115,115.9,0,172490,7530
VIC,20190604,113.6,115.4,113.6,114.6,262740,113.6,115.4,113.6,114.6,55000,270200,69300
VIC,20190603,114,115.5,113,114.5,281510,114,115.5,113,114.5,0,188870,19190
VIC,20190531,115.8,115.8,114.6,114.6,296610,115.8,115.8,114.6,114.6,0,160630,48230
VIC,20190530,115.2,116.2,115,115,572810,115.2,116.2,115,115,0,241900,198700
VIC,20190529,114.9,115.4,114,115.2,357950,114.9,115.4,114,115.2,0,273420,82890
VIC,20190528,116,116,114,114,503270,116,116,114,114,0,297360,500750
VIC,20190527,114,115.9,114,115,166080,114,115.9,114,115,0,81240,61080
VIC,20190524,115.5,116.2,114.3,115,628560,115.5,116.2,114.3,115,100000,232510,562870
VIC,20190523,117,117.6,116.2,117,249830,117,117.6,116.2,117,0,103150,85420
VIC,20190522,117.2,118.1,116,117.5,382330,117.2,118.1,116,117.5,0,92420,244460
VIC,20190521,118.7,118.7,116.3,117.5,708620,118.7,118.7,116.3,117.5,51518053,51634813,489230
VIC,20190520,117,117.5,116.1,117.5,406340,117,117.5,116.1,117.5,80000,211800,133560
VIC,20190517,117,118.1,116.1,116.9,464260,117,118.1,116.1,116.9,151000,247260,376290
VIC,20190516,115.3,118.9,115.3,116.9,773010,115.3,118.9,115.3,116.9,40000,172410,282620
