<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
VIP,20191010,4.58,4.65,4.58,4.64,2030,5,5.08,5,5.08,0,0,0
VIP,20191009,4.59,4.64,4.58,4.63,6010,5.02,5.08,5.01,5.06,0,0,0
VIP,20191008,4.64,4.64,4.64,4.64,30,5.08,5.08,5.08,5.08,0,0,0
VIP,20191007,4.65,4.66,4.59,4.64,30070,5.09,5.1,5.02,5.08,0,0,0
VIP,20191004,4.64,4.64,4.63,4.64,790,5.08,5.08,5.07,5.08,0,0,0
VIP,20191003,4.63,4.64,4.59,4.64,24280,5.07,5.08,5.02,5.08,0,0,5000
VIP,20191002,4.66,4.66,4.6,4.64,1560,5.1,5.1,5.03,5.08,0,0,0
VIP,20191001,4.66,4.66,4.6,4.6,2450,5.1,5.1,5.03,5.03,0,0,0
VIP,20190930,4.63,4.63,4.58,4.59,18220,5.07,5.07,5.01,5.02,0,2000,0
VIP,20190927,4.63,4.63,4.63,4.63,160,5.07,5.07,5.07,5.07,0,0,0
VIP,20190926,4.64,4.64,4.6,4.63,7210,5.08,5.08,5.04,5.07,0,0,0
VIP,20190925,4.6,4.67,4.58,4.63,13120,5.03,5.1,5.01,5.07,0,0,0
VIP,20190924,4.64,4.66,4.6,4.62,76230,5.08,5.1,5.03,5.05,0,0,0
VIP,20190923,4.71,4.71,4.65,4.66,22110,5.15,5.15,5.08,5.1,0,0,0
VIP,20190920,4.64,4.7,4.61,4.71,40480,5.08,5.15,5.05,5.15,0,5300,0
VIP,20190919,4.57,4.66,4.57,4.64,61390,4.99,5.09,4.99,5.08,0,0,40360
VIP,20190918,4.57,4.62,4.56,4.62,62250,5,5.05,4.99,5.05,0,0,28000
VIP,20190917,4.56,4.57,4.56,4.57,40490,4.99,5,4.99,5,0,0,12200
VIP,20190916,4.57,4.57,4.53,4.56,16850,5,5,4.96,4.99,0,0,5000
VIP,20190913,4.58,4.64,4.57,4.64,5270,5.01,5.08,5,5.08,0,0,0
VIP,20190912,4.57,4.65,4.57,4.64,44490,5,5.09,5,5.08,0,8000,0
VIP,20190911,4.65,4.65,4.53,4.52,65910,5.08,5.08,4.95,4.95,0,0,0
VIP,20190910,4.54,4.62,4.54,4.63,2680,4.97,5.06,4.97,5.06,0,0,0
VIP,20190909,4.57,4.57,4.54,4.57,45150,5,5,4.97,5,0,0,0
VIP,20190906,4.57,4.59,4.57,4.57,63290,5,5.02,5,5,0,0,20810
VIP,20190905,4.62,4.63,4.52,4.57,86450,5.06,5.07,4.95,5,0,0,10
VIP,20190904,4.68,4.7,4.63,4.63,91060,5.12,5.14,5.07,5.07,0,0,0
VIP,20190903,4.68,4.74,4.64,4.68,72720,5.12,5.19,5.08,5.12,0,0,30900
VIP,20190830,4.66,4.75,4.66,4.68,17230,5.1,5.2,5.1,5.12,0,0,0
VIP,20190829,4.68,4.69,4.63,4.69,42770,5.12,5.13,5.07,5.13,0,0,0
VIP,20190828,4.63,4.67,4.63,4.66,26430,5.07,5.11,5.07,5.1,0,0,0
VIP,20190827,4.69,4.69,4.63,4.63,8550,5.13,5.13,5.07,5.07,0,0,0
VIP,20190826,4.57,4.68,4.57,4.68,152730,5,5.12,5,5.12,0,0,0
VIP,20190823,4.67,4.67,4.57,4.57,153420,5.11,5.11,5,5,0,0,0
VIP,20190822,4.63,4.67,4.62,4.66,25210,5.06,5.11,5.05,5.1,0,0,0
VIP,20190821,4.62,4.62,4.57,4.62,54460,5.05,5.05,5,5.05,0,7330,0
VIP,20190820,4.66,4.66,4.58,4.62,24690,5.1,5.1,5.01,5.05,0,6300,0
VIP,20190819,4.68,4.68,4.59,4.64,4160,5.12,5.12,5.02,5.08,0,0,0
VIP,20190816,4.59,4.62,4.57,4.6,72420,5.02,5.05,5,5.03,0,34300,0
VIP,20190815,4.57,4.6,4.57,4.6,50270,5,5.03,5,5.03,0,23200,0
VIP,20190814,4.61,4.61,4.57,4.61,157110,5.04,5.04,5,5.04,0,49900,0
VIP,20190813,4.63,4.63,4.57,4.6,57730,5.06,5.07,5,5.03,0,7950,0
VIP,20190812,4.63,4.63,4.54,4.58,78360,5.07,5.07,4.97,5.01,0,21930,33300
VIP,20190809,4.59,4.59,4.53,4.57,38220,5.03,5.03,4.96,5,0,0,0
